"c.height","f.height","m.height"
60.7393195652574,66.016382013744,60.4835072156626
63.0621443009489,69.3960104679194,66.3917339223227
63.2680436918853,70.512689457349,59.7197715607614
59.6762275457878,68.4159089168113,61.1777491554814
68.992393061195,68.1829710848591,62.7623687764749
70.6108167718595,69.7896447201068,63.3162395658954
60.3253087039212,66.1853988533076,59.4729414393754
63.8103829032433,69.4805331386584,63.6868858382747
64.3518195998267,59.3740007012158,66.2413176033735
67.3318948352484,69.6892199616294,63.2182982977304
59.280164960435,65.1573879076832,62.0524433638153
65.7179119109214,63.4306799763638,59.0733560621259
68.4541982305522,73.5820157077628,65.0528250530805
68.0449447660041,71.9187367001523,61.2788256912472
63.878539634021,68.3588045106102,65.4735733106183
67.7993646845432,69.3945848826297,59.7875248844903
61.7998444984036,70.3415632994782,63.5219101777541
65.949805949953,77.5614922637861,66.4435609434302
72.1206205146623,76.8236434125426,66.2904656287339
60.7710546221343,66.7453645709267,59.7403912450037
72.4818920554452,68.3370945149293,66.4576621418199
70.2939113308824,73.5973666569121,67.1906114598124
68.1339798572074,70.4797379011697,62.7099368945278
69.3916867953147,64.51495804074,63.4501431390414
58.6250405567409,63.359601910459,61.3269367217682
64.0683103880342,71.0884937397869,63.2783615132539
60.025911504581,70.9180804720405,62.5644980627926
68.8898545062227,74.3787937156882,65.9943083947568
67.961380674599,66.578563638812,64.7064194546354
68.9844752937423,69.1192271853743,67.1944014993688
65.1221540512935,70.1783409152363,59.6809419889606
62.6921719367155,67.6528831217292,61.8523736154669
60.3002512542791,66.5405174020728,61.5960049284547
68.6017519474523,70.5026658732331,65.0822767011949
71.8605682936879,66.0003733711192,65.2708938946356
70.8446304397785,74.4804937214971,65.5976566631156
67.5079747537104,70.8151737797017,65.6095952672553
65.2780121394075,71.039403333017,65.6605797777797
65.8500178702821,76.7742303671346,66.2153159973719
64.9780986811143,70.2352858647057,61.9082635057809
72.1539583920824,70.6466547716401,60.3963571375431
67.1868383891866,69.3266556527709,65.3685765704302
69.105956305983,68.1012090086498,60.9298928647912
64.6315530599951,73.0706330100976,62.1270600342319
67.9680863395669,70.9966597958383,68.5672481505134
62.7029786781017,66.686874232496,64.7045391857287
67.0804300139816,69.5171431998091,67.5791312762913
63.0718312526202,63.1619166221053,64.0863197311012
73.8856498613173,70.3416094023032,64.3317324578099
70.2677337203247,68.3720705473905,61.1138920327035
